Trans Size,Total Contracts,Contracts,Premiums,Contracts.1,Premiums.1,Contracts.2,Premiums.2,Contracts.3,Premiums.3,porc,ds
TOTAL COMB,151487689,"56,256,870",$24560674059.0000,"95,230,819",$52442274738.7510,"31,262,054",$14668577956.2500,"120,225,635",$62334370841.5010,comb,2021-01-15
CUST (1-10),18479964,"15,710,610",$7505127288.0000,"2,769,354",$2417396600.0000,"6,124,148",$2995731459.0000,"11,697,263",$7438351643.5000,calls,2021-01-22
CUST (11-49),10360303,"8,681,435",$2655772708.0000,"1,678,868",$1029891394.0000,"3,935,883",$1237330902.5000,"6,561,506",$2701099294.0000,calls,2021-01-22
CUST (50-UP),13014925,"9,869,398",$2966566994.0000,"3,145,527",$1702412917.0000,"5,493,511",$1454251485.0000,"8,033,137",$3166813411.0000,calls,2021-01-22
CUST (ALL),41855192,"34,261,443",$13127466990.0000,"7,593,749",$5149700911.0000,"15,553,542",$5687313846.5000,"26,291,906",$13306264348.5000,calls,2021-01-22
FIRM (ALL),2097675,"1,105,513",$459604012.0000,"992,162",$572932120.0000,"1,150,442",$553093893.0000,"1,004,259",$554788328.0000,calls,2021-01-22
M-M (ALL),39801329,0,$0,"39,801,329",$20595024195.0000,0,$0,"39,754,047",$19803267812.0000,calls,2021-01-22
TOTAL CALLS,83754196,"35,366,956",$13587071002.0000,"48,387,240",$26317657226.0000,"16,703,984",$6240407739.5000,"67,050,212",$33664320488.5000,calls,2021-01-22
CUST (1-10),5940728,"3,931,196",$1877675440.0000,"2,009,532",$885958068.0000,"4,348,549",$2005323522.0000,"2,362,020",$1058974094.0000,puts,2021-01-22
CUST (11-49),3356712,"2,323,010",$733636759.0000,"1,033,702",$328413532.0000,"2,544,057",$814908025.0000,"1,381,902",$395076185.0000,puts,2021-01-22
CUST (50-UP),4846783,"2,947,123",$749876236.0000,"1,899,660",$828399329.0000,"3,334,836",$923873738.5000,"2,279,177",$729261998.0000,puts,2021-01-22
CUST (ALL),14144223,"9,201,329",$3361188435.0000,"4,942,894",$2042770929.0000,"10,227,442",$3744105285.5000,"6,023,099",$2183312277.0000,puts,2021-01-22
FIRM (ALL),1588212,"816,433",$561504697.0000,"771,779",$585162737.0000,"617,034",$468581445.0000,"693,604",$591926333.0000,puts,2021-01-22
M-M (ALL),17140959,0,$0,"17,140,959",$7231042904.5000,0,$0,"15,312,215",$6793744362.0000,puts,2021-01-22
TOTAL PUTS,32873394,"10,017,762",$3922693132.0000,"22,855,632",$9858976570.5000,"10,844,476",$4212686730.5000,"22,028,918",$9568982972.0000,puts,2021-01-22
CUST (1-10),24420692,"19,641,806",$9382802728.0000,"4,778,886",$3303354668.0000,"10,472,697",$5001054981.0000,"14,059,283",$8497325737.5000,comb,2021-01-22
CUST (11-49),13717015,"11,004,445",$3389409467.0000,"2,712,570",$1358304926.0000,"6,479,940",$2052238927.5000,"7,943,408",$3096175479.0000,comb,2021-01-22
CUST (50-UP),17861708,"12,816,521",$3716443230.0000,"5,045,187",$2530812246.0000,"8,828,347",$2378125223.5000,"10,312,314",$3896075409.0000,comb,2021-01-22
CUST (ALL),55999415,"43,462,772",$16488655425.0000,"12,536,643",$7192471840.0000,"25,780,984",$9431419132.0000,"32,315,005",$15489576625.5000,comb,2021-01-22
FIRM (ALL),3685887,"1,921,946",$1021108709.0000,"1,763,941",$1158094857.0000,"1,767,476",$1021675338.0000,"1,697,863",$1146714661.0000,comb,2021-01-22
M-M (ALL),56942288,0,$0,"56,942,288",$27826067099.5000,0,$0,"55,066,262",$26597012174.0000,comb,2021-01-22
TOTAL COMB,116627590,"45,384,718",$17509764134.0000,"71,242,872",$36176633796.5000,"27,548,460",$10453094470.0000,"89,079,130",$43233303460.5000,comb,2021-01-22
CUST (1-10),29948613,"25,639,866",$13873082902.0000,"4,308,747",$4671643859.0000,"7,704,467",$4706705162.0000,"19,657,263",$13868558033.0000,calls,2021-01-29
CUST (11-49),16136337,"13,422,682",$4545302542.0000,"2,713,655",$2003887225.0000,"5,096,959",$1958413124.5000,"11,046,444",$5205066267.0000,calls,2021-01-29
CUST (50-UP),20515878,"14,937,471",$5188627373.5000,"5,578,407",$2777406154.0000,"7,929,486",$3057522361.0000,"13,686,734",$5694781756.0000,calls,2021-01-29
CUST (ALL),66600828,"54,000,019",$23607012817.5000,"12,600,809",$9452937238.0000,"20,730,912",$9722640647.5000,"44,390,441",$24768406056.0000,calls,2021-01-29
FIRM (ALL),3063448,"1,718,890",$1695588234.0000,"1,344,558",$743993733.0000,"1,523,354",$1781539655.0000,"1,444,166",$652362680.0000,calls,2021-01-29
M-M (ALL),60647134,0,$0,"60,647,134",$40559721505.5000,0,$0,"62,222,537",$39134304489.5000,calls,2021-01-29
TOTAL CALLS,130311410,"55,718,909",$25302601051.5000,"74,592,501",$50756652476.5000,"22,254,266",$11504180302.5000,"108,057,144",$64555073225.5000,calls,2021-01-29
CUST (1-10),8698296,"5,845,524",$3599381019.0000,"2,852,772",$1636443537.5000,"5,639,944",$3249000201.0000,"3,955,439",$2379154067.0000,puts,2021-01-29
CUST (11-49),4883430,"3,284,869",$1249328823.0000,"1,598,561",$683132791.0000,"3,342,941",$1414628897.0000,"2,271,053",$852913761.0000,puts,2021-01-29
CUST (50-UP),7732599,"4,568,708",$2029799517.0000,"3,163,891",$1822670811.0000,"4,852,214",$1753354328.0000,"3,884,935",$1501940283.0000,puts,2021-01-29
CUST (ALL),21314325,"13,699,101",$6878509359.0000,"7,615,224",$4142247139.5000,"13,835,099",$6416983426.0000,"10,111,427",$4734008111.0000,puts,2021-01-29
FIRM (ALL),2274554,"1,318,972",$702310896.0000,"955,582",$593978759.0000,"1,052,764",$1148358550.0000,"1,167,905",$1189353380.0000,puts,2021-01-29
M-M (ALL),24759478,0,$0,"24,759,478",$14542939054.0000,0,$0,"22,181,162",$13371281740.5000,puts,2021-01-29
TOTAL PUTS,48348357,"15,018,073",$7580820255.0000,"33,330,284",$19279164952.5000,"14,887,863",$7565341976.0000,"33,460,494",$19294643231.5000,puts,2021-01-29
CUST (1-10),38646909,"31,485,390",$17472463921.0000,"7,161,519",$6308087396.5000,"13,344,411",$7955705363.0000,"23,612,702",$16247712100.0000,comb,2021-01-29
CUST (11-49),21019767,"16,707,551",$5794631365.0000,"4,312,216",$2687020016.0000,"8,439,900",$3373042021.5000,"13,317,497",$6057980028.0000,comb,2021-01-29
CUST (50-UP),28248477,"19,506,179",$7218426890.5000,"8,742,298",$4600076965.0000,"12,781,700",$4810876689.0000,"17,571,669",$7196722039.0000,comb,2021-01-29
CUST (ALL),87915153,"67,699,120",$30485522176.5000,"20,216,033",$13595184377.5000,"34,566,011",$16139624073.5000,"54,501,868",$29502414167.0000,comb,2021-01-29
FIRM (ALL),5338002,"3,037,862",$2397899130.0000,"2,300,140",$1337972492.0000,"2,576,118",$2929898205.0000,"2,612,071",$1841716060.0000,comb,2021-01-29
M-M (ALL),85406612,0,$0,"85,406,612",$55102660559.5000,0,$0,"84,403,699",$52505586230.0000,comb,2021-01-29
TOTAL COMB,178659767,"70,736,982",$32883421306.5000,"107,922,785",$70035817429.0000,"37,142,129",$19069522278.5000,"141,517,638",$83849716457.0000,comb,2021-01-29
CUST (1-10),23193718,"19,480,478",$9863505219.0000,"3,713,240",$2955948982.0000,"7,110,487",$3635997391.5000,"14,912,267",$9656449863.0000,calls,2021-02-05
CUST (11-49),12934571,"10,664,326",$3456212473.0000,"2,270,245",$1202070970.0000,"4,739,082",$1602984399.0000,"8,478,870",$3314848007.0000,calls,2021-02-05
CUST (50-UP),17026664,"12,429,235",$4316998344.0000,"4,597,429",$2098400726.0000,"6,827,492",$2738479488.0000,"10,764,548",$3889928257.0000,calls,2021-02-05
CUST (ALL),53154953,"42,574,039",$17636716036.0000,"10,580,914",$6256420678.0000,"18,677,061",$7977461278.5000,"34,155,685",$16861226127.0000,calls,2021-02-05
FIRM (ALL),2761896,"1,269,222",$1879873035.0000,"1,492,674",$1024323396.0000,"1,418,423",$1363115761.0000,"1,904,957",$1841301579.0000,calls,2021-02-05
M-M (ALL),48610241,0,$0,"48,610,241",$26987034562.5000,0,$0,"48,370,964",$25741262962.0000,calls,2021-02-05
TOTAL CALLS,104527090,"43,843,261",$19516589071.0000,"60,683,829",$34267778636.5000,"20,095,484",$9340577039.5000,"84,431,606",$44443790668.0000,calls,2021-02-05
CUST (1-10),7734645,"4,800,067",$2595438589.0000,"2,934,578",$1718170490.5000,"5,012,165",$2844579314.0000,"3,229,329",$2012986039.0000,puts,2021-02-05
CUST (11-49),4186761,"2,680,895",$867649723.0000,"1,505,866",$539594146.0000,"2,841,624",$1029556404.0000,"1,703,871",$577275164.0000,puts,2021-02-05
CUST (50-UP),6020916,"3,407,443",$882513785.0000,"2,613,473",$1479762838.3000,"3,766,880",$1104429791.5000,"2,944,127",$1976540384.0000,puts,2021-02-05
CUST (ALL),17942322,"10,888,405",$4345602097.0000,"7,053,917",$3737527474.8000,"11,620,669",$4978565509.5000,"7,877,327",$4566801587.0000,puts,2021-02-05
FIRM (ALL),2074970,"931,251",$699114492.0000,"1,143,719",$1484882806.0000,"943,621",$485617891.9000,"970,192",$924233264.0000,puts,2021-02-05
M-M (ALL),19407853,0,$0,"19,407,853",$10782076716.1000,0,$0,"18,013,336",$10093985333.5000,puts,2021-02-05
TOTAL PUTS,39425145,"11,819,656",$5044716589.0000,"27,605,489",$16004486996.9000,"12,564,290",$5464183401.4000,"26,860,855",$15585020184.5000,puts,2021-02-05
CUST (1-10),30928363,"24,280,545",$12458943808.0000,"6,647,818",$4674119472.5000,"12,122,652",$6480576705.5000,"18,141,596",$11669435902.0000,comb,2021-02-05
CUST (11-49),17121332,"13,345,221",$4323862196.0000,"3,776,111",$1741665116.0000,"7,580,706",$2632540803.0000,"10,182,741",$3892123171.0000,comb,2021-02-05
CUST (50-UP),23047580,"15,836,678",$5199512129.0000,"7,210,902",$3578163564.3000,"10,594,372",$3842909279.5000,"13,708,675",$5866468641.0000,comb,2021-02-05
CUST (ALL),71097275,"53,462,444",$21982318133.0000,"17,634,831",$9993948152.8000,"30,297,730",$12956026788.0000,"42,033,012",$21428027714.0000,comb,2021-02-05
FIRM (ALL),4836866,"2,200,473",$2578987527.0000,"2,636,393",$2509206202.0000,"2,362,044",$1848733652.9000,"2,875,149",$2765534843.0000,comb,2021-02-05
M-M (ALL),68018094,0,$0,"68,018,094",$37769111278.6000,0,$0,"66,384,300",$35835248295.5000,comb,2021-02-05
TOTAL COMB,143952235,"55,662,917",$24561305660.0000,"88,289,318",$50272265633.4000,"32,659,774",$14804760440.9000,"111,292,461",$60028810852.5000,comb,2021-02-05
CUST (1-10),26564950,"22,544,239",$10113714246.0000,"4,020,711",$2639438238.5000,"7,277,716",$3389089178.7500,"17,415,617",$9603913897.0000,calls,2021-02-12
CUST (11-49),14676624,"12,117,964",$3514669717.0000,"2,558,660",$1143072813.7500,"4,890,091",$1534233619.0000,"9,951,683",$3611745119.0000,calls,2021-02-12
CUST (50-UP),18065154,"13,419,030",$4187457063.0000,"4,646,124",$2356244005.5000,"7,570,560",$2684268526.0000,"12,211,053",$4673585080.0000,calls,2021-02-12
CUST (ALL),59306728,"48,081,233",$17815841026.0000,"11,225,495",$6138755057.7500,"19,738,367",$7607591323.7500,"39,578,353",$17889244096.0000,calls,2021-02-12
FIRM (ALL),2500770,"1,294,978",$1077780312.0000,"1,205,792",$787662836.0000,"1,406,743",$1331638264.0000,"1,269,685",$660993396.0000,calls,2021-02-12
M-M (ALL),53693723,0,$0,"53,693,723",$27600356315.7500,0,$0,"53,508,073",$25930928467.7500,calls,2021-02-12
TOTAL CALLS,115501221,"49,376,211",$18893621338.0000,"66,125,010",$34526774209.5000,"21,145,110",$8939229587.7500,"94,356,111",$44481165959.7500,calls,2021-02-12
CUST (1-10),7554107,"4,631,617",$2255898630.0000,"2,922,490",$1185136797.0000,"5,325,701",$2510130401.0000,"3,112,593",$1575394278.0000,puts,2021-02-12
CUST (11-49),4292431,"2,744,536",$864881847.0000,"1,547,895",$424591289.0000,"3,024,676",$1041547323.0000,"1,750,589",$525351790.0000,puts,2021-02-12
CUST (50-UP),5731259,"3,284,733",$811284684.0000,"2,446,526",$1050931275.5000,"3,843,565",$1053410887.5000,"2,648,678",$785027739.0000,puts,2021-02-12
CUST (ALL),17577797,"10,660,886",$3932065161.0000,"6,916,911",$2660659361.5000,"12,193,942",$4605088611.5000,"7,511,860",$2885773807.0000,puts,2021-02-12
FIRM (ALL),1887252,"1,046,250",$559248657.0000,"841,002",$691034185.0000,"668,235",$448870796.0000,"703,272",$626488164.0000,puts,2021-02-12
M-M (ALL),20007367,0,$0,"20,007,367",$9169730128.5000,0,$0,"18,395,107",$8446516114.5000,puts,2021-02-12
TOTAL PUTS,39472416,"11,707,136",$4491313818.0000,"27,765,280",$12521423675.0000,"12,862,177",$5053959407.5000,"26,610,239",$11958778085.5000,puts,2021-02-12
CUST (1-10),34119057,"27,175,856",$12369612876.0000,"6,943,201",$3824575035.5000,"12,603,417",$5899219579.7500,"20,528,210",$11179308175.0000,comb,2021-02-12
CUST (11-49),18969055,"14,862,500",$4379551564.0000,"4,106,555",$1567664102.7500,"7,914,767",$2575780942.0000,"11,702,272",$4137096909.0000,comb,2021-02-12
CUST (50-UP),23796413,"16,703,763",$4998741747.0000,"7,092,650",$3407175281.0000,"11,414,125",$3737679413.5000,"14,859,731",$5458612819.0000,comb,2021-02-12
CUST (ALL),76884525,"58,742,119",$21747906187.0000,"18,142,406",$8799414419.2500,"31,932,309",$12212679935.2500,"47,090,213",$20775017903.0000,comb,2021-02-12
FIRM (ALL),4388022,"2,341,228",$1637028969.0000,"2,046,794",$1478697021.0000,"2,074,978",$1780509060.0000,"1,972,957",$1287481560.0000,comb,2021-02-12
M-M (ALL),73701090,0,$0,"73,701,090",$36770086444.2500,0,$0,"71,903,180",$34377444582.2500,comb,2021-02-12
TOTAL COMB,154973637,"61,083,347",$23384935156.0000,"93,890,290",$47048197884.5000,"34,007,287",$13993188995.2500,"120,966,350",$56439944045.2500,comb,2021-02-12
CUST (1-10),18999677,"15,360,617",$7275368554.5000,"3,639,060",$1953260196.0000,"5,853,236",$2588689571.0000,"11,755,914",$6193515178.0000,calls,2021-02-19
CUST (11-49),10830575,"8,531,950",$2690204741.0000,"2,298,625",$930246554.0000,"3,982,407",$1229596018.5000,"7,196,499",$2528200912.0000,calls,2021-02-19
CUST (50-UP),14173017,"9,876,651",$3391458228.0000,"4,296,366",$1520720959.0000,"5,794,561",$2133913192.5000,"9,368,137",$3133041086.5000,calls,2021-02-19
CUST (ALL),44003269,"33,769,218",$13357031523.5000,"10,234,051",$4404227709.0000,"15,630,204",$5952198782.0000,"28,320,550",$11854757176.5000,calls,2021-02-19
FIRM (ALL),2207926,"1,074,622",$1232748761.0000,"1,133,304",$702091524.0000,"1,374,710",$1595077392.0000,"1,320,495",$633416328.0000,calls,2021-02-19
M-M (ALL),40509988,0,$0,"40,509,988",$20309610723.0000,0,$0,"40,075,224",$19970260562.0000,calls,2021-02-19
TOTAL CALLS,86721183,"34,843,840",$14589780284.5000,"51,877,343",$25415929956.0000,"17,004,914",$7547276174.0000,"69,716,269",$32458434066.5000,calls,2021-02-19
CUST (1-10),6056107,"3,521,423",$1860800690.5000,"2,534,684",$1051671325.0000,"4,413,942",$2165487550.0000,"2,503,292",$1251258827.5000,puts,2021-02-19
CUST (11-49),3589228,"2,210,636",$722068520.0000,"1,378,592",$445258543.0000,"2,520,941",$893124210.0000,"1,492,601",$477088347.0000,puts,2021-02-19
CUST (50-UP),5186938,"2,700,538",$696519638.0000,"2,486,400",$955040316.5000,"3,213,568",$923720940.5000,"2,559,200",$886335836.5000,puts,2021-02-19
CUST (ALL),14832273,"8,432,597",$3279388848.5000,"6,399,676",$2451970184.5000,"10,148,451",$3982332700.5000,"6,555,093",$2614683011.0000,puts,2021-02-19
FIRM (ALL),1903956,"919,457",$640589339.0000,"984,499",$549511315.0000,"612,222",$448918909.0000,"800,846",$578974594.0000,puts,2021-02-19
M-M (ALL),17090952,0,$0,"17,090,952",$7886989302.0000,0,$0,"15,710,569",$7183539774.5000,puts,2021-02-19
TOTAL PUTS,33827181,"9,352,054",$3919978187.5000,"24,475,127",$10888470801.5000,"10,760,673",$4431251609.5000,"23,066,508",$10377197379.5000,puts,2021-02-19
CUST (1-10),25055784,"18,882,040",$9136169245.0000,"6,173,744",$3004931521.0000,"10,267,178",$4754177121.0000,"14,259,206",$7444774005.5000,comb,2021-02-19
CUST (11-49),14419803,"10,742,586",$3412273261.0000,"3,677,217",$1375505097.0000,"6,503,348",$2122720228.5000,"8,689,100",$3005289259.0000,comb,2021-02-19
CUST (50-UP),19359955,"12,577,189",$4087977866.0000,"6,782,766",$2475761275.5000,"9,008,129",$3057634133.0000,"11,927,337",$4019376923.0000,comb,2021-02-19
CUST (ALL),58835542,"42,201,815",$16636420372.0000,"16,633,727",$6856197893.5000,"25,778,655",$9934531482.5000,"34,875,643",$14469440187.5000,comb,2021-02-19
FIRM (ALL),4111882,"1,994,079",$1873338100.0000,"2,117,803",$1251602839.0000,"1,986,932",$2043996301.0000,"2,121,341",$1212390922.0000,comb,2021-02-19
M-M (ALL),57600940,0,$0,"57,600,940",$28196600025.0000,0,$0,"55,785,793",$27153800336.5000,comb,2021-02-19
TOTAL COMB,120548364,"44,195,894",$18509758472.0000,"76,352,470",$36304400757.5000,"27,765,587",$11978527783.5000,"92,782,777",$42835631446.0000,comb,2021-02-19
CUST (1-10),22278539,"18,406,845",$9487794381.5000,"3,871,694",$2186384803.5000,"7,405,497",$3531130307.5000,"12,764,876",$6927243932.0000,calls,2021-02-26
CUST (11-49),13144844,"10,614,199",$3436661610.5000,"2,530,645",$1005006701.0000,"5,188,461",$1596711339.5000,"8,236,486",$2976024493.0000,calls,2021-02-26
CUST (50-UP),17409549,"12,866,096",$4812175667.5000,"4,543,453",$1473801735.0000,"7,392,174",$2521178376.5000,"11,343,208",$4616577724.0000,calls,2021-02-26
CUST (ALL),52832932,"41,887,140",$17736631659.5000,"10,945,792",$4665193239.5000,"19,986,132",$7649020023.5000,"32,344,570",$14519846149.0000,calls,2021-02-26
FIRM (ALL),2155105,"1,088,344",$1181896724.0000,"1,066,761",$602165916.0000,"1,271,649",$1346465699.0000,"1,115,607",$510076542.5000,calls,2021-02-26
M-M (ALL),50559987,0,$0,"50,559,987",$25242622695.0000,0,$0,"50,830,066",$25403101820.0000,calls,2021-02-26
TOTAL CALLS,105548024,"42,975,484",$18918528383.5000,"62,572,540",$30509981850.5000,"21,257,781",$8995485722.5000,"84,290,243",$40433024511.5000,calls,2021-02-26
CUST (1-10),7624538,"4,958,383",$3184236579.0000,"2,666,155",$2536310943.0000,"5,310,173",$3433152723.0000,"3,507,451",$2918586422.1000,puts,2021-02-26
CUST (11-49),4465354,"2,917,821",$1276933733.5000,"1,547,533",$1074704037.0000,"3,095,168",$1511839095.0000,"2,050,293",$1092844916.0000,puts,2021-02-26
CUST (50-UP),7027574,"3,962,080",$1410936607.5000,"3,065,494",$1792845633.0000,"4,222,986",$1764917464.0000,"3,803,610",$1435933001.5000,puts,2021-02-26
CUST (ALL),19117466,"11,838,284",$5872106920.0000,"7,279,182",$5403860613.0000,"12,628,327",$6709909282.0000,"9,361,354",$5447364339.6000,puts,2021-02-26
FIRM (ALL),1811671,"977,137",$596984086.5000,"834,534",$491524425.0000,"866,787",$714932132.0000,"891,976",$810502255.0000,puts,2021-02-26
M-M (ALL),23645305,0,$0,"23,645,305",$15747907763.1000,0,$0,"20,825,998",$14429675799.0000,puts,2021-02-26
TOTAL PUTS,44574442,"12,815,421",$6469091006.5000,"31,759,021",$21643292801.1000,"13,495,114",$7424841414.0000,"31,079,328",$20687542393.6000,puts,2021-02-26
CUST (1-10),29903077,"23,365,228",$12672030960.5000,"6,537,849",$4722695746.5000,"12,715,670",$6964283030.5000,"16,272,327",$9845830354.1000,comb,2021-02-26
CUST (11-49),17610198,"13,532,020",$4713595344.0000,"4,078,178",$2079710738.0000,"8,283,629",$3108550434.5000,"10,286,779",$4068869409.0000,comb,2021-02-26
CUST (50-UP),24437123,"16,828,176",$6223112275.0000,"7,608,947",$3266647368.0000,"11,615,160",$4286095840.5000,"15,146,818",$6052510725.5000,comb,2021-02-26
CUST (ALL),71950398,"53,725,424",$23608738579.5000,"18,224,974",$10069053852.5000,"32,614,459",$14358929305.5000,"41,705,924",$19967210488.6000,comb,2021-02-26
FIRM (ALL),3966776,"2,065,481",$1778880810.5000,"1,901,295",$1093690341.0000,"2,138,436",$2061397831.0000,"2,007,583",$1320578797.5000,comb,2021-02-26
M-M (ALL),74205292,0,$0,"74,205,292",$40990530458.1000,0,$0,"71,656,064",$39832777619.0000,comb,2021-02-26
TOTAL COMB,150122466,"55,790,905",$25387619390.0000,"94,331,561",$52153274651.6000,"34,752,895",$16420327136.5000,"115,369,571",$61120566905.1000,comb,2021-02-26
CUST (1-10),20799477,"16,840,885",$7706677606.5100,"3,958,592",$1665819787.4200,"6,658,704",$2662207492.6000,"12,569,551",$5897744186.9000,calls,2021-03-05
CUST (11-49),12290692,"9,711,975",$2903202343.7000,"2,578,717",$767802845.0000,"4,534,272",$1225599701.0000,"8,170,845",$2496180085.0500,calls,2021-03-05
CUST (50-UP),16141735,"11,990,137",$3547938076.0000,"4,151,598",$1310613599.0000,"6,656,957",$1904249342.0000,"10,432,822",$2904689568.0000,calls,2021-03-05
CUST (ALL),49231904,"38,542,997",$14157818026.2100,"10,688,907",$3744236231.4200,"17,849,933",$5792056535.6000,"31,173,218",$11298613839.9500,calls,2021-03-05
FIRM (ALL),2320359,"1,333,091",$1037797644.0000,"987,268",$492235847.0000,"1,464,150",$1316351334.0000,"1,100,615",$445417998.0000,calls,2021-03-05
M-M (ALL),47879790,0,$0,"47,879,790",$20134758143.5500,0,$0,"47,844,137",$20714406184.6300,calls,2021-03-05
TOTAL CALLS,99432053,"39,876,088",$15195615670.2100,"59,555,965",$24371230221.9700,"19,314,083",$7108407869.6000,"80,117,970",$32458438022.5800,calls,2021-03-05
CUST (1-10),7773855,"4,943,965",$3143433910.0000,"2,829,890",$3047456011.0800,"4,296,292",$3012797262.0000,"4,002,935",$3377934008.4400,puts,2021-03-05
CUST (11-49),4568241,"2,908,861",$1137728462.0000,"1,659,380",$1216289446.2000,"2,591,970",$1211428260.0000,"2,324,034",$1239075231.0000,puts,2021-03-05
CUST (50-UP),9199741,"5,036,331",$1064708882.5000,"4,163,410",$1737529670.0000,"4,597,417",$1252813438.0000,"5,247,125",$1484768551.0000,puts,2021-03-05
CUST (ALL),21541837,"12,889,157",$5345871254.5000,"8,652,680",$6001275127.2800,"11,485,679",$5477038960.0000,"11,574,094",$6101777790.4400,puts,2021-03-05
FIRM (ALL),1729930,"896,528",$532118757.0000,"833,402",$607386611.0000,"899,933",$711766715.0000,"951,182",$877653483.0000,puts,2021-03-05
M-M (ALL),22514990,0,$0,"22,514,990",$14898368124.4400,0,$0,"20,875,869",$14216782925.7800,puts,2021-03-05
TOTAL PUTS,45786757,"13,785,685",$5877990011.5000,"32,001,072",$21507029862.7200,"12,385,612",$6188805675.0000,"33,401,145",$21196214199.2200,puts,2021-03-05
CUST (1-10),28573332,"21,784,850",$10850111516.5100,"6,788,482",$4713275798.5000,"10,954,996",$5675004754.6000,"16,572,486",$9275678195.3400,comb,2021-03-05
CUST (11-49),16858933,"12,620,836",$4040930805.7000,"4,238,097",$1984092291.2000,"7,126,242",$2437027961.0000,"10,494,879",$3735255316.0500,comb,2021-03-05
CUST (50-UP),25341476,"17,026,468",$4612646958.5000,"8,315,008",$3048143269.0000,"11,254,374",$3157062780.0000,"15,679,947",$4389458119.0000,comb,2021-03-05
CUST (ALL),70773741,"51,432,154",$19503689280.7100,"19,341,587",$9745511358.7000,"29,335,612",$11269095495.6000,"42,747,312",$17400391630.3900,comb,2021-03-05
FIRM (ALL),4050289,"2,229,619",$1569916401.0000,"1,820,670",$1099622458.0000,"2,364,083",$2028118049.0000,"2,051,797",$1323071481.0000,comb,2021-03-05
M-M (ALL),70394780,0,$0,"70,394,780",$35033126267.9900,0,$0,"68,720,006",$34931189110.4100,comb,2021-03-05
TOTAL COMB,145218810,"53,661,773",$21073605681.7100,"91,557,037",$45878260084.6900,"31,699,695",$13297213544.6000,"113,519,115",$53654652221.8000,comb,2021-03-05
CUST (1-10),20375063,"17,096,647",$8264027120.5500,"3,278,416",$2092504885.8600,"6,483,002",$2790564414.7200,"13,522,113",$7415590015.8200,calls,2021-03-12
CUST (11-49),11530447,"9,417,201",$2881355121.0000,"2,113,246",$857907678.0000,"4,286,173",$1240726078.0000,"8,091,805",$2723585954.6000,calls,2021-03-12
CUST (50-UP),14639438,"10,929,736",$3681039813.0000,"3,709,702",$1249472746.0000,"6,114,473",$2205222521.5000,"10,136,585",$3076487179.4000,calls,2021-03-12
CUST (ALL),46544948,"37,443,584",$14826422054.5500,"9,101,364",$4199885309.8600,"16,883,648",$6236513014.2200,"31,750,503",$13215663149.8200,calls,2021-03-12
FIRM (ALL),2549634,"1,372,239",$1338992903.6000,"1,177,395",$704449516.8000,"1,417,955",$1571514267.0000,"1,140,147",$518027837.2000,calls,2021-03-12
M-M (ALL),47023667,0,$0,"47,023,667",$22757902865.4400,0,$0,"44,925,996",$22285934382.0100,calls,2021-03-12
TOTAL CALLS,96118249,"38,815,823",$16165414958.1500,"57,302,426",$27662237692.1000,"18,301,603",$7808027281.2200,"77,816,646",$36019625369.0300,calls,2021-03-12
CUST (1-10),7020678,"4,724,481",$3015157484.4800,"2,296,197",$1628535423.8200,"3,928,828",$2423577364.3200,"3,213,500",$2261442833.9200,puts,2021-03-12
CUST (11-49),3989351,"2,750,432",$1026435972.0000,"1,238,919",$597990730.0000,"2,414,539",$1007503829.0000,"1,892,549",$784717668.8000,puts,2021-03-12
CUST (50-UP),5985642,"3,751,854",$1041579258.0000,"2,233,788",$1053583554.0000,"2,969,663",$1021568760.5000,"3,062,807",$1083064103.0000,puts,2021-03-12
CUST (ALL),16995671,"11,226,767",$5083172714.4800,"5,768,904",$3280109707.8200,"9,313,030",$4452649953.8200,"8,168,856",$4129224605.7200,puts,2021-03-12
FIRM (ALL),1734139,"808,371",$578708984.0000,"925,768",$863426930.0000,"821,139",$541092685.0000,"1,045,016",$738878589.0000,puts,2021-03-12
M-M (ALL),18956249,0,$0,"18,956,249",$11239551438.4100,0,$0,"18,338,018",$11183123941.1700,puts,2021-03-12
TOTAL PUTS,37686059,"12,035,138",$5661881698.4800,"25,650,921",$15383088076.2300,"10,134,169",$4993742638.8200,"27,551,890",$16051227135.8900,puts,2021-03-12
CUST (1-10),27395741,"21,821,128",$11279184605.0300,"5,574,613",$3721040309.6800,"10,411,830",$5214141779.0400,"16,735,613",$9677032849.7400,comb,2021-03-12
CUST (11-49),15519798,"12,167,633",$3907791093.0000,"3,352,165",$1455898408.0000,"6,700,712",$2248229907.0000,"9,984,354",$3508303623.4000,comb,2021-03-12
CUST (50-UP),20625080,"14,681,590",$4722619071.0000,"5,943,490",$2303056300.0000,"9,084,136",$3226791282.0000,"13,199,392",$4159551282.4000,comb,2021-03-12
CUST (ALL),63540619,"48,670,351",$19909594769.0300,"14,870,268",$7479995017.6800,"26,196,678",$10689162968.0400,"39,919,359",$17344887755.5400,comb,2021-03-12
FIRM (ALL),4283773,"2,180,610",$1917701887.6000,"2,103,163",$1567876446.8000,"2,239,094",$2112606952.0000,"2,185,163",$1256906426.2000,comb,2021-03-12
M-M (ALL),65979916,0,$0,"65,979,916",$33997454303.8500,0,$0,"63,264,014",$33469058323.1800,comb,2021-03-12
